"","npi","score_spread","score_bene"
"1146","1710937776",4,4
"1147","1710937867",8,6
"1148","1710939541",28,22
"1149","1710954169",3,0
"1150","1710969746",21,10
"1151","1710980016",1,10
"1152","1720009525",21,23
"1153","1720014574",19,14
"1154","1720022759",18,18
"1155","1720043383",0,0
"1156","1720057060",3,13
"1157","1720062037",19,17
"1158","1720062763",22,15
"1159","1720068455",19,8
"1160","1720076185",22,10
"1161","1720082118",17,19
"1162","1720083306",1,12
"1163","1720138498",13,10
"1164","1720161169",23,10
"1165","1720169691",14,7
"1166","1720181316",6,19
"1167","1720205917",2,6
"1168","1720242514",8,7
"1169","1720273485",13,5
"1170","1730100595",21,18
"1171","1730108903",9,5
"1172","1730140518",11,13
"1173","1730150921",18,13
"1174","1730158924",5,12
"1175","1730181868",10,13
"1176","1730185810",23,11
"1177","1730205279",4,4
"1178","1730230533",0,15
"1179","1730238288",11,5
"1180","1730273806",4,6
"1181","1730275256",25,17
"1182","1730281957",0,20
"1183","1730287236",0,3
"1184","1730295627",6,10
"1185","1730341181",0,0
"1186","1730355116",6,0
"1187","1730359100",9,7
"1188","1740219989",16,14
"1189","1740240126",5,19
"1190","1740250976",7,6
"1191","1740271212",19,9
"1192","1740296839",18,20
"1193","1740326941",4,9
"1194","1740360486",14,6
"1195","1740372457",5,18
"1196","1740375047",0,11
"1197","1740376706",5,3
"1198","1740388602",1,5
"1199","1740395763",9,7
"1200","1740454032",0,15
"1201","1740457258",8,3
"1202","1740457548",21,10
"1203","1750300018",1,21
"1204","1750325403",5,22
"1205","1750348967",11,5
"1206","1750354551",19,14
"1207","1750358123",0,16
"1208","1750371977",12,15
"1209","1750375556",1,9
"1210","1750386736",15,9
"1211","1750396313",24,22
"1212","1750422911",1,17
"1213","1750453742",15,5
"1214","1750474524",17,20
"1215","1750478830",3,0
"1216","1750490330",5,9
"1217","1750494829",18,14
"1218","1750598744",14,3
"1219","1760406763",20,9
"1220","1760408678",19,15
"1221","1760421606",14,12
"1222","1760424758",11,11
"1223","1760449144",12,11
"1224","1760462048",0,9
"1225","1760468409",12,14
"1226","1760475156",5,10
"1227","1760492631",0,18
"1228","1760550271",11,14
"1229","1760578272",3,5
"1230","1760645790",6,2
"1231","1760667836",15,20
"1232","1770533515",23,16
"1233","1770538316",0,3
"1234","1770556078",13,9
"1235","1770560096",22,6
"1236","1770560658",17,10
"1237","1770568560",11,16
"1238","1770578833",9,8
"1239","1770581688",10,17
"1240","1770586075",3,9
"1241","1770594376",15,9
"1242","1770656670",15,11
"1243","1770661464",0,10
"1244","1770661571",10,9
"1245","1770664294",0,14
"1246","1770666133",4,3
"1247","1770724635",8,7
"1248","1770773012",6,3
"1249","1770786287",8,12
"1250","1770886285",0,4
"1251","1780604678",0,16
"1252","1780606970",8,7
"1253","1780607192",25,20
"1254","1780607622",19,14
"1255","1780609388",0,15
"1256","1780619692",7,16
"1257","1780621730",18,10
"1258","1780624577",8,11
"1259","1780645473",12,9
"1260","1780673715",15,10
"1261","1780675124",19,14
"1262","1780681478",10,15
"1263","1780683052",22,16
"1264","1780684902",24,8
"1265","1780757211",11,11
"1266","1780758482",9,19
"1267","1780769463",12,13
"1268","1780775353",15,18
"1269","1780823419",13,13
"1270","1790717841",0,3
"1271","1790719227",0,0
"1272","1790746220",28,25
"1273","1790757151",13,18
"1274","1790779643",17,7
"1275","1790780633",10,0
"1276","1790784502",11,12
"1277","1790794303",7,8
"1278","1790795433",12,12
"1279","1790860633",16,13
"1280","1790877603",0,14
"1281","1790882249",0,0
"1282","1790882405",7,7
"1283","1790883544",0,8
"1284","1790894723",4,5
"1285","1790897338",0,9
"1286","1790945046",7,5
"1287","1801006762",18,10
"1288","1801043211",18,18
"1289","1801078886",0,10
"1290","1801191184",0,0
"1291","1801803150",21,12
"1292","1801817424",10,11
"1293","1801825096",11,8
"1294","1801830864",12,13
"1295","1801838701",21,15
"1296","1801872924",0,12
"1297","1801894316",1,8
"1298","1801896030",10,14
"1299","1801898978",11,11
"1300","1801903349",15,23
"1301","1801909544",0,0
"1302","1801934021",10,17
"1303","1801952767",6,17
"1304","1801962956",13,8
"1305","1801981683",30,19
"1306","1801983473",0,0
"1307","1801989074",7,14
"1308","1801994637",9,10
"1309","1801995279",8,16
"1310","1801998109",4,0
"1311","1801998687",0,17
"1312","1811062698",4,4
"1313","1811082571",15,23
"1314","1811907249",13,15
"1315","1811907710",12,23
"1316","1811916208",1,6
"1317","1811939101",18,15
"1318","1811940042",13,10
"1319","1811954381",0,14
"1320","1811975493",0,5
"1321","1811979735",3,24
"1322","1811991433",15,5
"1323","1811992019",8,12
"1324","1811992365",12,12
"1325","1811998412",0,6
"1326","1821010307",12,20
"1327","1821023854",0,8
"1328","1821057233",9,11
"1329","1821069360",14,5
"1330","1821069741",14,8
"1331","1821071333",3,2
"1332","1821092800",3,14
"1333","1821096553",9,11
"1334","1821136052",14,8
"1335","1821146499",17,22
"1336","1821198565",8,5
"1337","1831114552",20,11
"1338","1831119932",8,7
"1339","1831127042",2,2
"1340","1831129931",21,16
"1341","1831178854",12,6
"1342","1831203413",5,17
"1343","1831228386",8,9
"1344","1831262815",2,6
"1345","1831270727",17,14
"1346","1841208063",20,17
"1347","1841225786",24,18
"1348","1841233129",2,0
"1349","1841261369",13,14
"1350","1841275914",25,20
"1351","1841277746",0,6
"1352","1841288388",28,26
"1353","1841294204",21,9
"1354","1841294584",0,8
"1355","1841298932",6,7
"1356","1841336252",0,13
"1357","1841386299",7,9
"1358","1841389061",0,3
"1359","1841451937",0,1
"1360","1841485364",3,2
"1361","1851300826",25,20
"1362","1851307987",14,10
"1363","1851308068",0,14
"1364","1851310254",24,9
"1365","1851327654",0,20
"1366","1851336846",23,18
"1367","1851366496",6,7
"1368","1851380299",5,10
"1369","1851382048",18,17
"1370","1851384762",0,15
"1371","1851390173",25,22
"1372","1851393847",2,15
"1373","1851398895",1,7
"1374","1851409965",8,10
"1375","1851457444",7,7
"1376","1851465918",21,13
"1377","1851466429",0,6
"1378","1851482228",11,13
"1379","1851494769",14,9
"1380","1851595839",20,14
"1381","1851689046",1,0
"1382","1861446460",12,8
"1383","1861451056",3,9
"1384","1861469595",21,17
"1385","1861496143",15,10
"1386","1861521239",0,12
"1387","1861525313",0,19
"1388","1861567174",8,7
"1389","1861573297",8,3
"1390","1861654584",0,0
"1391","1861686545",12,9
"1392","1871505883",7,10
"1393","1871522359",0,0
"1394","1871523217",12,7
"1395","1871523662",3,7
"1396","1871528190",8,3
"1397","1871546192",0,20
"1398","1871556274",18,20
"1399","1871562769",3,20
"1400","1871564963",14,21
"1401","1871575217",21,11
"1402","1871576025",7,20
"1403","1871586099",3,11
"1404","1871588210",0,7
"1405","1871600510",15,19
"1406","1871604645",2,11
"1407","1871664565",15,7
"1408","1871724781",1,21
"1409","1871754846",2,2
"1410","1881603884",16,16
"1411","1881613842",23,17
"1412","1881623452",11,7
"1413","1881624633",10,5
"1414","1881646552",4,15
"1415","1881664092",0,15
"1416","1881690022",7,1
"1417","1881697605",17,5
"1418","1881699221",2,5
"1419","1881701324",10,26
"1420","1881702272",22,17
"1421","1881709962",17,16
"1422","1881756757",0,4
"1423","1881792307",16,13
"1424","1881792604",0,0
"1425","1881852366",6,2
"1426","1881888642",21,11
"1427","1881894566",0,18
"1428","1881920114",19,8
"1429","1891705448",8,14
"1430","1891728390",3,6
"1431","1891736740",1,2
"1432","1891739728",13,8
"1433","1891759130",13,8
"1434","1891759635",1,4
"1435","1891761763",10,5
"1436","1891777553",15,10
"1437","1891788337",3,18
"1438","1891790556",17,11
"1439","1891790770",9,6
"1440","1891793535",14,14
"1441","1891794921",9,14
"1442","1891808754",8,16
"1443","1891841920",4,12
"1444","1891842969",0,2
"1445","1891879367",0,10
"1446","1891942926",18,15
"1447","1891951455",0,0
"1448","1902009137",10,12
"1449","1902805989",0,24
"1450","1902850522",8,16
"1451","1902858319",15,17
"1452","1902862782",6,13
"1453","1902877442",11,9
"1454","1902881816",15,13
"1455","1902883812",1,20
"1456","1902890841",22,10
"1457","1902895733",16,20
"1458","1902895998",7,10
"1459","1902917487",8,6
"1460","1902958473",26,17
"1461","1902986938",9,9
"1462","1902996101",0,13
"1463","1902996846",10,18
"1464","1902997695",0,9
"1465","1912014200",0,0
"1466","1912015231",4,18
"1467","1912016999",1,11
"1468","1912091349",2,4
"1469","1912101528",12,6
"1470","1912103516",13,8
"1471","1912128596",15,12
"1472","1912140781",0,0
"1473","1912210691",16,11
"1474","1912226416",14,10
"1475","1912916032",9,2
"1476","1912917394",21,12
"1477","1912919457",8,8
"1478","1912979741",12,11
"1479","1912985904",3,2
"1480","1912987967",15,18
"1481","1912994328",12,10
"1482","1912995184",11,10
"1483","1922002443",9,14
"1484","1922007038",13,10
"1485","1922018357",23,21
"1486","1922026251",0,1
"1487","1922029503",0,7
"1488","1922035229",0,17
"1489","1922038785",8,6
"1490","1922041474",4,3
"1491","1922054394",21,15
"1492","1922059062",14,20
"1493","1922082387",7,7
"1494","1922082742",0,6
"1495","1922083179",7,7
"1496","1922084797",9,3
"1497","1922087766",6,21
"1498","1922089655",11,8
"1499","1922093491",0,0
"1500","1922106798",16,8
"1501","1922116797",12,15
"1502","1922122894",2,3
"1503","1922139377",15,12
"1504","1922146943",9,13
"1505","1922192343",13,18
"1506","1922274869",17,13
"1507","1932111762",10,9
"1508","1932121969",4,23
"1509","1932134491",0,16
"1510","1932136827",9,17
"1511","1932144060",9,8
"1512","1932157559",13,20
"1513","1932163839",7,6
"1514","1932188489",6,5
"1515","1932195419",5,23
"1516","1932217304",1,8
"1517","1932285772",0,10
"1518","1932360997",6,1
"1519","1942203302",7,9
"1520","1942204458",6,3
"1521","1942205935",12,15
"1522","1942207980",0,14
"1523","1942208483",0,21
"1524","1942211081",17,18
"1525","1942218151",17,16
"1526","1942223920",12,14
"1527","1942232483",8,3
"1528","1942251095",10,7
"1529","1942255096",0,0
"1530","1942265988",16,25
"1531","1942270145",0,10
"1532","1942274980",19,10
"1533","1942294657",19,7
"1534","1942308788",8,2
"1535","1942339486",8,9
"1536","1942371182",9,10
"1537","1942374103",17,18
"1538","1942406699",13,8
"1539","1942406756",4,5
"1540","1952304115",18,13
"1541","1952304388",0,0
"1542","1952305559",7,6
"1543","1952361230",2,8
"1544","1952362261",5,11
"1545","1952362592",4,9
"1546","1952368920",8,4
"1547","1952372245",24,17
"1548","1952389355",17,12
"1549","1952392466",10,16
"1550","1952396590",15,15
"1551","1952397614",9,8
"1552","1952400525",5,3
"1553","1952416216",19,8
"1554","1952598179",0,12
"1555","1962400747",13,12
"1556","1962403519",20,16
"1557","1962419218",27,17
"1558","1962449983",14,18
"1559","1962451054",3,3
"1560","1962459420",17,12
"1561","1962460931",15,9
"1562","1962469445",19,9
"1563","1962471854",3,19
"1564","1962479287",11,21
"1565","1962483917",25,9
"1566","1962494989",4,8
"1567","1962498311",0,7
"1568","1962503995",12,8
"1569","1962514992",0,8
"1570","1962593673",3,21
"1571","1962596783",1,13
"1572","1962600213",0,0
"1573","1972505683",9,15
"1574","1972535706",11,8
"1575","1972539112",13,25
"1576","1972566230",12,5
"1577","1972572865",2,12
"1578","1972581122",12,13
"1579","1972585628",2,0
"1580","1972607000",0,4
"1581","1972611242",0,16
"1582","1972616993",0,8
"1583","1972648707",21,18
"1584","1972663656",19,21
"1585","1972689966",11,11
"1586","1972777936",9,4
"1587","1982601191",15,8
"1588","1982604435",14,10
"1589","1982608444",6,2
"1590","1982609780",10,9
"1591","1982615639",23,24
"1592","1982634234",17,11
"1593","1982644910",3,8
"1594","1982654901",23,22
"1595","1982663977",0,13
"1596","1982697033",6,14
"1597","1982785317",26,21
"1598","1982802476",10,11
"1599","1982855631",4,1
"1600","1992703367",7,10
"1601","1992708150",14,17
"1602","1992720742",11,0
"1603","1992735773",6,9
"1604","1992736441",26,17
"1605","1992739478",2,18
"1606","1992757231",13,10
"1607","1992770630",3,19
"1608","1992785612",20,11
"1609","1992789374",10,15
"1610","1992847552",16,13
"1611","1992880793",0,5
"1612","1992891386",3,5
"1613","1992896518",3,19
"1614","1992922751",26,5
